OBJ_ID,A_RESTYPE,A_RESOBJID,Z_RESTYPE,Z_RESOBJID,LENGTH,LINE_NUMBER,PRODUCER_ID,ALARM_NUM,ALARM_TIME,ALARM_TIME_NEW
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54612,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00695,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00713,5,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54645,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00695,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00690,35,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54694,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00695,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00711,8,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54727,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00695,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00714,10,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54874,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00690,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00776,65,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54923,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00690,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00715,8,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54948,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00690,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00772,42,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54997,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00692,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00690,85,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-55046,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00692,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00716,8,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00274,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-55095,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00692,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00776,37,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
